"from:","to:","light (s)","deep (s)","rem (s)","awake (s)","wake up"
"2017-02-16 12:02 AM","2017-02-16 7:40 AM","18660","7800","0","1020","1"
"2017-02-14 11:52 PM","2017-02-15 7:32 AM","16620","10200","0","780","1"
"2017-02-13 11:59 PM","2017-02-14 7:14 AM","19320","5880","0","900","1"
"2017-02-12 11:48 PM","2017-02-13 7:26 AM","19440","6960","0","1080","2"
"2017-02-11 11:16 PM","2017-02-12 8:58 AM","24420","9420","0","1080","1"
"2017-02-10 11:29 PM","2017-02-11 7:38 AM","17700","10440","0","1200","1"
"2017-02-09 11:17 PM","2017-02-10 7:17 AM","18540","8880","0","1380","2"
"2017-02-08 11:25 PM","2017-02-09 7:10 AM","18240","8520","0","1140","2"
"2017-02-07 11:32 PM","2017-02-08 7:18 AM","19980","7620","0","360","1"
"2017-02-06 11:31 PM","2017-02-07 7:14 AM","17580","8880","0","1320","2"
"2017-02-05 11:19 PM","2017-02-06 7:14 AM","17400","9780","0","1320","2"
"2017-02-04 10:07 PM","2017-02-05 7:09 AM","21360","8520","0","2640","5"
"2017-02-03 11:42 PM","2017-02-04 8:06 AM","18900","10980","0","360","0"
"2017-02-02 11:39 PM","2017-02-03 7:50 AM","19440","9060","0","960","1"
"2017-02-02 12:00 AM","2017-02-02 8:03 AM","18300","8520","0","2160","2"
"2017-01-31 11:26 PM","2017-02-01 7:49 AM","18060","10500","0","1620","2"
"2017-01-30 11:47 PM","2017-01-31 7:08 AM","16920","8280","0","1260","2"
"2017-01-29 11:40 PM","2017-01-30 7:42 AM","14760","11760","0","2400","2"
"2017-01-28 11:56 PM","2017-01-29 8:38 AM","15840","13440","0","2040","4"
"2017-01-28 12:10 AM","2017-01-28 8:24 AM","20040","8520","0","1080","1"
"2017-01-27 12:32 AM","2017-01-27 7:42 AM","16740","8100","0","960","2"
"2017-01-25 10:48 PM","2017-01-26 6:52 AM","16440","11760","0","840","1"
"2017-01-24 11:30 PM","2017-01-25 7:32 AM","18720","9540","0","660","1"
"2017-01-23 11:52 PM","2017-01-24 7:20 AM","14820","11220","0","840","1"
"2017-01-22 11:37 PM","2017-01-23 6:37 AM","16019","8581","0","600","1"
"2017-01-22 12:20 AM","2017-01-22 8:18 AM","14880","12480","0","1320","2"
"2017-01-20 10:41 PM","2017-01-21 7:52 AM","23400","8220","0","1440","2"
"2017-01-19 11:16 PM","2017-01-20 7:25 AM","20280","7080","0","960","2"
"2017-01-18 11:30 PM","2017-01-19 6:54 AM","15000","10080","0","1560","2"
"2017-01-17 10:49 PM","2017-01-18 7:40 AM","22080","8400","0","1380","2"
"2017-01-16 11:32 PM","2017-01-17 7:38 AM","17760","10680","0","720","1"
"2017-01-15 11:34 PM","2017-01-16 7:09 AM","15840","10500","0","960","1"
"2017-01-14 11:07 PM","2017-01-15 9:18 AM","24000","10560","0","2100","3"
"2017-01-13 11:56 PM","2017-01-14 8:47 AM","17520","13620","0","720","1"
"2017-01-12 11:27 PM","2017-01-13 7:21 AM","17220","10860","0","360","0"
"2017-01-11 10:47 PM","2017-01-12 7:11 AM","19860","8880","0","1500","2"
"2017-01-10 11:43 PM","2017-01-11 7:37 AM","14040","10620","0","2580","2"
"2017-01-09 11:26 PM","2017-01-10 6:54 AM","17520","7800","0","1560","2"
"2017-01-08 11:27 PM","2017-01-09 8:01 AM","21120","8280","0","1440","2"
"2017-01-07 11:56 PM","2017-01-08 8:24 AM","19980","8580","0","1920","3"
"2017-01-06 11:47 PM","2017-01-07 8:26 AM","16740","13500","0","900","2"