"Date","Weight (lb)","Fat mass (lb)","Lean mass (lb)","Bone mass (lb)","Muscle mass (lb)","Hydration (lb)","Comments"
"2017-01-15 9:37 AM","154.5","","","","","",""
"2017-01-14 8:40 AM","153.4","","","","","",""
"2017-01-13 7:25 AM","153.9","39.4","114.5","","","",""
"2017-01-12 7:13 AM","154.2","","","","","",""
"2017-01-11 7:32 AM","154.3","","","","","",""
"2017-01-10 6:57 AM","154.4","","","","","",""
"2017-01-09 8:12 AM","155.6","","","","","",""
"2017-01-08 9:21 AM","154.9","","","","","",""
"2017-01-07 8:31 AM","155.1","","","","","",""
"2017-01-03 7:15 AM","153.2","","","","","",""
"2016-12-30 8:53 AM","153.7","39.4","114.3","","","",""
"2016-12-27 9:00 AM","152.5","39.5","113","","","",""
"2016-12-22 7:11 AM","153.8","39.3","114.5","","","",""
"2016-12-21 8:25 AM","154.2","37.7","116.5","","","",""
"2016-12-20 7:10 AM","152.5","40.2","112.3","","","",""
"2016-12-19 8:15 AM","152.8","39.5","113.3","","","",""
"2016-12-17 7:26 AM","154.8","","","","","",""
"2016-12-15 8:07 AM","154.5","","","","","",""
"2016-12-14 8:57 AM","154.2","38.5","115.7","","","",""
"2016-12-06 6:05 AM","150.7","38.6","112.1","","","",""
"2016-12-05 7:44 AM","151.7","37.6","114.1","","","",""
"2016-12-04 8:41 AM","151.8","","","","","",""
"2016-12-03 9:10 AM","151.5","39","112.5","","","",""
"2016-12-02 8:44 AM","151.7","36.9","114.8","","","",""
"2016-12-01 7:29 AM","151","38.2","112.8","","","",""
"2016-11-30 8:08 AM","151.1","38.6","112.5","","","",""
"2016-11-29 7:57 AM","152.2","38.8","113.4","","","",""
"2016-11-28 7:26 AM","154.2","39.1","115.1","","","",""
"2016-11-27 9:37 AM","153.7","38.8","114.9","","","",""
"2016-11-23 7:17 AM","151","37.7","113.3","","","",""
"2016-11-22 7:29 AM","151.8","39.5","112.3","","","",""
"2016-11-21 7:27 AM","153.5","38.5","115","","","",""
"2016-11-20 9:03 AM","155.7","39","116.7","","","",""
"2016-11-19 8:35 AM","152.9","","","","","",""
"2016-11-17 7:07 AM","150.4","37.5","112.9","","","",""
"2016-11-16 7:30 AM","151.3","","","","","",""
"2016-11-15 7:20 AM","152.4","39.3","113.1","","","",""
"2016-11-14 7:28 AM","154","38.3","115.7","","","",""
"2016-11-13 8:34 AM","154.1","39.2","114.9","","","",""
"2016-11-12 8:33 AM","152.4","38.5","113.9","","","",""
"2016-11-11 7:20 AM","151.6","38.8","112.8","","","",""
"2016-11-10 7:19 AM","151.8","38.3","113.5","","","",""
"2016-11-09 7:31 AM","151.5","38","113.5","","","",""
"2016-11-08 7:30 AM","153","39.3","113.7","","","",""
"2016-11-07 8:14 AM","153.5","","","","","",""
"2016-11-06 8:10 AM","154.2","39.5","114.7","","","",""
"2016-11-05 8:21 AM","153.2","38.2","115","","","",""
"2016-11-04 4:06 PM","153","","","","","",""
"2016-11-04 7:52 AM","152.1","39","113.1","","","",""
"2016-11-03 7:22 AM","152.5","","","","","",""
"2016-11-02 7:13 AM","152.3","40.4","111.9","","","",""
"2016-11-01 8:13 PM","152.7","","","","","",""
"2016-10-31 7:28 AM","154.5","40.9","113.6","","","",""
"2016-10-30 9:21 AM","154.5","39.7","114.8","","","",""
"2016-10-29 8:19 AM","152.9","38.8","114.1","","","",""
"2016-10-28 8:05 AM","151.9","38.2","113.7","","","",""
"2016-10-27 7:55 AM","151.8","","","","","",""
"2016-10-26 8:00 AM","151.9","38.3","113.6","","","",""
"2016-10-25 7:56 AM","153.2","39.3","113.9","","","",""
"2016-10-24 11:09 PM","154.9","","","","","",""
"2016-10-23 8:31 AM","156.1","39.1","117","","","",""
"2016-10-22 8:36 AM","153.1","40","113.1","","","",""
"2016-10-21 8:07 AM","153.4","39.6","113.8","","","",""
"2016-10-20 7:50 AM","152.3","39.4","112.9","","","",""
"2016-10-19 7:58 AM","153.7","40.5","113.2","","","",""
"2016-10-18 7:54 AM","154.9","41.5","113.4","","","",""
"2016-10-17 7:50 AM","155.4","","","","","",""
"2016-10-16 9:54 AM","155.8","40.6","115.2","","","",""
"2016-10-15 8:39 AM","155.1","41.1","114","","","",""
"2016-10-14 8:10 AM","155.3","40.5","114.8","","","",""
"2016-10-13 7:18 AM","155.5","","","","","",""
"2016-10-12 7:56 AM","154","40.8","113.2","","","",""
"2016-10-11 7:57 AM","154.9","41.3","113.6","","","",""
"2016-10-10 7:57 AM","156.4","42.1","114.3","","","",""
"2016-10-09 8:49 AM","158.8","42.1","116.7","","","",""
"2016-10-08 8:25 AM","155.8","40.7","115.1","","","",""
"2016-10-07 7:56 AM","156.3","38.6","117.7","","","",""
"2016-10-06 7:57 AM","156.5","40.4","116.1","","","",""
"2016-10-05 8:07 AM","156.5","40","116.5","","","",""
"2016-10-04 7:29 AM","155","38.8","116.2","","","",""
"2016-10-03 8:30 AM","158.3","38.9","119.4","","","",""
"2016-10-02 8:51 AM","156.6","38.8","117.8","","","",""
"2016-10-01 8:53 AM","156.1","40.3","115.8","","","",""
"2016-09-30 7:56 AM","155.6","40.6","115","","","",""
"2016-09-29 7:59 AM","155.8","41.6","114.2","","","",""
"2016-09-28 8:32 AM","154.8","39.9","114.9","","","",""
"2016-09-27 7:55 AM","156.6","41.8","114.8","","","",""
"2016-09-26 8:02 AM","157.9","42.6","115.3","","","",""
"2016-09-25 9:21 AM","156.3","42.3","114","","","",""
"2016-09-24 8:06 AM","156.5","40.5","116","","","",""
"2016-09-23 7:48 AM","156.2","41.2","115","","","",""
"2016-09-22 7:49 AM","154.3","40.6","113.7","","","",""
"2016-09-21 8:05 AM","154.8","41.2","113.6","","","",""
"2016-09-20 7:52 AM","155.4","41.8","113.6","","","",""
"2016-09-19 7:15 AM","156","41.3","114.7","","","",""
"2016-09-18 9:03 AM","158.7","41.7","117","","","",""
"2016-09-17 8:02 AM","157.2","41.9","115.3","","","",""
"2016-09-16 8:19 AM","156.6","42.3","114.3","","","",""
"2016-09-15 7:47 AM","156.8","42.3","114.5","","","",""
"2016-09-14 7:04 AM","156.4","41.9","114.5","","","",""
"2016-09-13 8:01 AM","157.3","42.5","114.8","","","",""
"2016-09-11 8:29 AM","157.7","40.6","117.1","","","",""
"2016-09-10 7:54 AM","157.1","42","115.1","","","",""
"2016-09-09 7:58 AM","156","41.3","114.7","","","",""
"2016-09-08 8:24 AM","155.5","40.7","114.8","","","",""
"2016-09-07 8:13 AM","155.5","40","115.5","","","",""
"2016-09-06 7:53 AM","155.9","40.9","115","","","",""
"2016-09-02 7:23 AM","154.6","41","113.6","","","",""
"2016-08-28 4:19 PM","158.4","40.7","117.7","","","",""
"2016-08-05 8:06 AM","154.3","41.8","112.5","","","",""
"2016-08-04 7:41 AM","154.8","41.2","113.6","","","",""
"2016-08-03 8:18 AM","155.7","40.7","115","","","",""
"2016-08-02 8:06 AM","156.8","41.5","115.3","","","",""
"2016-08-01 8:39 AM","156.7","41.6","115.1","","","",""
"2016-07-31 8:45 AM","156.3","41.1","115.2","","","",""
"2016-07-30 9:12 AM","154.3","42.2","112.1","","","",""
"2016-07-29 8:05 AM","154.5","41.3","113.2","","","",""
"2016-07-28 8:32 AM","154.7","42.3","112.4","","","",""
"2016-07-27 8:21 AM","155.4","42.3","113.1","","","",""
"2016-07-26 8:02 AM","156.2","41.4","114.8","","","",""
"2016-07-25 7:58 AM","156.7","","","","","",""
"2016-07-23 4:14 PM","156.4","40.2","116.2","","","",""
"2016-07-23 9:21 AM","156.3","42.1","114.2","","","",""
"2016-07-22 7:39 AM","155.3","41.8","113.5","","","",""
"2016-07-21 8:32 AM","155.4","42.1","113.3","","","",""
"2016-07-20 8:23 AM","155.7","42.8","112.9","","","",""
"2016-07-18 8:11 AM","159","42.2","116.8","","","",""
"2016-07-17 8:39 AM","159.2","","","","","",""
"2016-07-16 8:27 AM","157.7","43.1","114.6","","","",""
"2016-07-15 7:23 AM","156.2","41.8","114.4","","","",""
"2016-07-14 10:22 PM","157","38.1","118.9","","","",""
"2016-07-08 8:53 AM","157.5","42.7","114.8","","","",""
"2016-07-07 7:45 AM","156.6","42.8","113.8","","","",""
"2016-07-06 8:03 AM","156.3","43.5","112.8","","","",""
"2016-07-05 7:45 AM","158.2","43.4","114.8","","","",""
"2016-07-02 8:47 AM","156","42.9","113.1","","","",""
"2016-07-01 7:51 AM","157.5","44","113.5","","","",""
"2016-06-30 8:26 AM","158","45.4","112.6","","","",""
"2016-06-29 7:59 AM","158.9","43.5","115.4","","","",""
"2016-06-28 8:07 AM","159","44.5","114.5","","","",""
"2016-06-27 7:52 AM","159","45","114","","","",""
"2016-06-26 8:33 AM","159.7","44.8","114.9","","","",""
"2016-06-25 8:34 AM","158","42.9","115.1","","","",""
"2016-06-24 8:13 AM","157.1","43.3","113.8","","","",""
"2016-06-23 7:41 AM","157.2","44.3","112.9","","","",""
"2016-06-22 8:11 AM","157.9","44.5","113.4","","","",""
"2016-06-21 7:51 AM","158.5","44.8","113.7","","","",""
"2016-06-20 7:39 AM","161.9","47.1","114.8","","","",""
"2016-06-19 9:10 AM","161.8","46.1","115.7","","","",""
"2016-06-18 8:07 AM","159.4","45.7","113.7","","","",""
"2016-06-15 7:39 AM","160.3","","","","","",""
"2016-06-14 7:53 AM","160.8","45","115.8","","","",""
"2016-06-13 7:48 AM","160.7","45.6","115.1","","","",""
"2016-06-12 8:03 AM","160.3","45.2","115.1","","","",""
"2016-06-08 8:57 PM","163.1","42.9","120.2","","","",""
"2016-06-07 7:41 AM","161.8","","","","","",""
"2016-06-06 8:08 AM","162.7","45.8","116.9","","","",""
"2016-06-04 8:00 AM","161.2","45.7","115.5","","","",""
"2016-06-03 7:57 AM","162.3","46.9","115.4","","","",""
"2016-06-02 9:09 PM","163.5","44.7","118.8","","","",""
"2016-05-31 7:23 AM","163.6","44.9","118.7","","","",""
"2016-05-27 8:25 AM","161.7","46.1","115.6","","","",""
"2016-05-26 7:34 AM","161","47.2","113.8","","","",""
"2016-05-24 8:27 AM","160.5","45.9","114.6","","","",""
"2016-05-23 6:34 AM","161.7","47.2","114.5","","","",""
"2016-05-22 7:40 AM","161.6","46.6","115","","","",""
"2016-05-21 8:32 AM","161.7","47.8","113.9","","","",""
"2016-05-20 7:40 AM","161","45.5","115.5","","","",""
"2016-05-19 7:49 AM","161.6","46.7","114.9","","","",""
"2016-05-18 7:41 AM","160.8","45.9","114.9","","","",""
"2016-05-17 7:32 AM","161.5","47.1","114.4","","","",""
"2016-05-16 7:55 AM","161.7","48.2","113.5","","","",""
"2016-05-15 8:57 AM","164","48.3","115.7","","","",""
"2016-05-14 7:30 AM","162.2","47.5","114.7","","","",""
"2016-05-13 7:36 AM","161.7","46.3","115.4","","","",""
"2016-05-12 8:08 AM","162.1","46.1","116","","","",""
"2016-05-11 7:27 AM","162.2","46.7","115.5","","","",""
"2016-05-10 7:36 AM","164","45.7","118.3","","","",""
"2016-05-09 7:45 AM","164.8","47","117.8","","","",""
"2016-05-08 7:43 AM","162.4","45.9","116.5","","","",""
"2016-05-07 8:21 AM","161.2","46.7","114.5","","","",""
"2016-05-02 8:49 AM","167.4","51.2","116.2","","","",""
"2016-05-01 8:44 AM","162.5","44.6","117.9","","","",""
"2016-04-29 8:04 AM","164.2","47.6","116.6","","","",""
"2016-04-28 7:38 AM","165.2","46.9","118.3","","","",""
"2016-04-27 7:22 AM","163.7","47.9","115.8","","","",""
"2016-04-26 7:17 AM","163.8","47.7","116.1","","","",""
"2016-04-25 9:52 PM","165.3","","","","","",""
"2016-04-25 9:27 PM","165.3","44.9","120.4","","","",""
"2016-04-25 9:17 PM","167.9","47.1","120.8","","","",""
"2016-04-25 8:51 PM","168.5","","","","","",""
"2016-04-25 8:46 PM","168.5","","","","","",""